
[16:01] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[16:56] == EssentialMode started, version 4.3.1 ==
[16:57] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[16:57] == EssentialMode started, version 4.3.1 ==
[16:57] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[16:57] == EssentialMode started, version 4.3.1 ==
[17:03] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:03] == EssentialMode started, version 4.3.1 ==
[17:03] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:03] == EssentialMode started, version 4.3.1 ==
[17:04] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:04] == EssentialMode started, version 4.3.1 ==
[17:04] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:04] == EssentialMode started, version 4.3.1 ==
[17:04] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:04] == EssentialMode started, version 4.3.1 ==
[17:05] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:05] == EssentialMode started, version 4.3.1 ==
[17:06] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:06] == EssentialMode started, version 4.3.1 ==
[17:07] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:07] == EssentialMode started, version 4.3.1 ==
[17:07] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:07] == EssentialMode started, version 4.3.1 ==
[17:07] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:07] == EssentialMode started, version 4.3.1 ==
[17:09] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:09] == EssentialMode started, version 4.3.1 ==
[17:10] User (Kanersps) loaded
[17:11] User (Kanersps) saved and unloaded
[17:12] User (Kanersps) loaded
[17:15] User (Kanersps) saved and unloaded
[17:15] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:15] == EssentialMode started, version 4.3.1 ==
[17:16] User (Kanersps) loaded
[17:20] User (Kanersps) saved and unloaded
[17:20] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:20] == EssentialMode started, version 4.3.1 ==
[17:21] User (Kanersps) loaded
[17:22] User (Kanersps) saved and unloaded
[17:23] Version mismatch was detected, updater version: 4.2.1(4.3.1)
[17:23] == EssentialMode started, version 4.3.1 ==
[17:24] User (Kanersps) loaded
[17:25] User (Kanersps) saved and unloaded
[20:44] == EssentialMode started, version 4.4.0 ==
[20:44] == EssentialMode started, version 4.4.0 ==
[20:45] == EssentialMode started, version 4.4.0 ==
[20:45] == EssentialMode started, version 4.4.0 ==
[20:46] == EssentialMode started, version 4.4.0 ==
[20:46] == EssentialMode started, version 4.4.0 ==
[20:47] == EssentialMode started, version 4.4.0 ==
[20:50] == EssentialMode started, version 4.4.0 ==
[20:50] == EssentialMode started, version 4.4.0 ==
[20:50] == EssentialMode started, version 4.4.0 ==
[21:52] == EssentialMode started, version 4.4.1 ==
[21:52] == EssentialMode started, version 4.4.1 ==
[21:54] == DB Created ==
[21:54] == EssentialMode started, version 4.4.1 ==
[21:57] == EssentialMode started, version 4.4.1 ==
[21:58] == EssentialMode started, version 4.4.1 ==
